CUDA_VISIBLE_DEVICES=2,3 NCCL_MAX_NCHANNELS=3  CUDA_DEVICE_MAX_CONNECTIONS=2 mpirun -np 2 ./main 2 128 128 96 4 16 8 10000
Communication Complete from Rank: 0
Communication Complete from Rank: 1
Create pthread success! 
Create pthread success! 
Total 150 requests. 
Total 150 requests. 
request: 0, CPU_Time: 0.000000 ms, CUDA_Time: 20.594688 ms. 
request: 1, CPU_Time: 8.901000 ms, CUDA_Time: 20.880384 ms. 
request: 2, CPU_Time: 17.905001 ms, CUDA_Time: 11.702272 ms. 
request: 3, CPU_Time: 17.871000 ms, CUDA_Time: 18.159616 ms. 
request: 4, CPU_Time: 24.198999 ms, CUDA_Time: 11.484160 ms. 
request: 5, CPU_Time: 23.933001 ms, CUDA_Time: 18.586624 ms. 
request: 6, CPU_Time: 30.875999 ms, CUDA_Time: 17.403904 ms. 
request: 7, CPU_Time: 36.580002 ms, CUDA_Time: 17.741823 ms. 
request: 8, CPU_Time: 42.874001 ms, CUDA_Time: 18.122751 ms. 
request: 9, CPU_Time: 48.998001 ms, CUDA_Time: 20.749311 ms. 
request: 10, CPU_Time: 57.625000 ms, CUDA_Time: 20.557823 ms. 
request: 11, CPU_Time: 66.508003 ms, CUDA_Time: 11.854848 ms. 
request: 12, CPU_Time: 66.573997 ms, CUDA_Time: 12.251136 ms. 
request: 13, CPU_Time: 67.102997 ms, CUDA_Time: 11.715584 ms. 
request: 14, CPU_Time: 66.875999 ms, CUDA_Time: 20.480000 ms. 
request: 15, CPU_Time: 75.636002 ms, CUDA_Time: 10.327040 ms. 
request: 16, CPU_Time: 74.288002 ms, CUDA_Time: 11.784192 ms. 
request: 17, CPU_Time: 73.975998 ms, CUDA_Time: 17.665024 ms. 
request: 18, CPU_Time: 79.824997 ms, CUDA_Time: 17.193983 ms. 
request: 19, CPU_Time: 85.112999 ms, CUDA_Time: 10.101760 ms. 
request: 20, CPU_Time: 83.321999 ms, CUDA_Time: 18.408447 ms. 
request: 21, CPU_Time: 89.942001 ms, CUDA_Time: 18.533377 ms. 
request: 22, CPU_Time: 96.660004 ms, CUDA_Time: 20.687872 ms. 
request: 23, CPU_Time: 105.670998 ms, CUDA_Time: 20.572161 ms. 
request: 24, CPU_Time: 114.642998 ms, CUDA_Time: 17.352703 ms. 
request: 25, CPU_Time: 120.099998 ms, CUDA_Time: 11.672576 ms. 
request: 26, CPU_Time: 120.014999 ms, CUDA_Time: 17.639423 ms. 
request: 27, CPU_Time: 125.981003 ms, CUDA_Time: 18.406401 ms. 
request: 28, CPU_Time: 132.647995 ms, CUDA_Time: 17.921024 ms. 
request: 29, CPU_Time: 138.841995 ms, CUDA_Time: 10.213376 ms. 
request: 30, CPU_Time: 137.214005 ms, CUDA_Time: 11.473920 ms. 
request: 31, CPU_Time: 137.061005 ms, CUDA_Time: 20.637695 ms. 
request: 32, CPU_Time: 145.940994 ms, CUDA_Time: 20.714497 ms. 
request: 33, CPU_Time: 154.854004 ms, CUDA_Time: 18.164736 ms. 
request: 34, CPU_Time: 161.360001 ms, CUDA_Time: 11.789312 ms. 
request: 35, CPU_Time: 161.649002 ms, CUDA_Time: 18.518017 ms. 
request: 36, CPU_Time: 169.070007 ms, CUDA_Time: 9.967616 ms. 
request: 37, CPU_Time: 167.399994 ms, CUDA_Time: 20.616192 ms. 
request: 38, CPU_Time: 176.363007 ms, CUDA_Time: 17.250303 ms. 
request: 39, CPU_Time: 180.962006 ms, CUDA_Time: 17.384447 ms. 
request: 40, CPU_Time: 186.597000 ms, CUDA_Time: 18.585600 ms. 
request: 41, CPU_Time: 193.552994 ms, CUDA_Time: 20.639744 ms. 
request: 42, CPU_Time: 202.309006 ms, CUDA_Time: 12.175360 ms. 
request: 43, CPU_Time: 202.548004 ms, CUDA_Time: 11.954176 ms. 
request: 44, CPU_Time: 202.647995 ms, CUDA_Time: 17.419264 ms. 
request: 45, CPU_Time: 208.145004 ms, CUDA_Time: 20.699137 ms. 
request: 46, CPU_Time: 217.070007 ms, CUDA_Time: 10.131456 ms. 
request: 47, CPU_Time: 215.341003 ms, CUDA_Time: 11.714560 ms. 
request: 48, CPU_Time: 215.335999 ms, CUDA_Time: 11.552768 ms. 
request: 49, CPU_Time: 215.007996 ms, CUDA_Time: 11.645952 ms. 
request: 50, CPU_Time: 214.897995 ms, CUDA_Time: 18.140160 ms. 
request: 51, CPU_Time: 221.251999 ms, CUDA_Time: 17.937408 ms. 
request: 52, CPU_Time: 227.304001 ms, CUDA_Time: 10.161152 ms. 
